Id,SalePrice
1461,113870.0244
1462,159491.7324
1463,185536.036
1464,197721.5652
1465,200115.3032
1466,169665.29
1467,171091.7571
1468,163100.1887
1469,194830.7071
1470,116570.142
1471,166783.0028
1472,101540.5846
1473,99257.95716
1474,145681.747
1475,97838.72058
1476,367380.6141
1477,252406.5605
1478,305657.0513
1479,307713.3396
1480,461141.5322
1481,313172.4357
1482,211940.4626
1483,175602.6622
1484,165186.7979
1485,187786.1089
1486,196347.7552
1487,335612.4115
1488,224792.0146
1489,198450.1653
1490,248917.4581
1491,200301.5925
1492,94599.19835
1493,190055.0071
1494,308130.5379
1495,286881.1868
1496,241205.0512
1497,168763.1112
1498,174370.2911
1499,168578.7228
1500,160934.0535
1501,194759.7587
1502,146919.4579
1503,297496.265
1504,233197.6351
1505,222870.1914
1506,193138.8826
1507,244628.4831
1508,196834.5775
1509,156069.0283
1510,152088.4026
1511,156413.8258
1512,174196.1448
1513,143459.5812
1514,168860.6532
1515,197748.8142
1516,157764.4344
1517,179175.2225
1518,124884.6479
1519,219860.0753
1520,126355.7012
1521,133811.3125
1522,187537.628
1523,108148.6294
1524,107959.8935
1525,115777.5779
1526,99967.51216
1527,104696.6306
1528,121735.2916
1529,154291.5166
1530,205240.0329
1531,140734.4981
1532,95242.48724
1533,152638.9589
1534,121977.5712
1535,146612.0769
1536,101275.24
1537,59260.74446
1538,157225.1871
1539,194475.5413
1540,117594.5335
1541,139852.9962
1542,145748.5385
1543,182431.9579
1544,78803.26242
1545,110427.39
1546,145554.7954
1547,134561.7951
1548,134535.5422
1549,123872.6091
1550,147958.5743
1551,104009.3274
1552,146101.6622
1553,154067.4051
1554,112864.4272
1555,165985.9153
1556,78519.92811
1557,118123.2652
1558,108653.4493
1559,77428.28467
1560,122982.3397
1561,132702.0978
1562,133485.0958
1563,125247.6511
1564,160775.297
1565,163497.4834
1566,226340.4956
1567,73895.14766
1568,237906.1724
1569,146468.6842
1570,139019.4486
1571,99537.68613
1572,140582.598
1573,264709.287
1574,134758.2995
1575,237122.7391
1576,240134.0804
1577,184339.3859
1578,152650.3907
1579,143736.5169
1580,191071.8012
1581,156888.5627
1582,126870.9936
1583,278087.2467
1584,220621.0894
1585,140816.1088
1586,68223.70746
1587,106191.9258
1588,157124.6585
1589,100509.4913
1590,121942.8857
1591,91682.40282
1592,127238.7436
1593,127234.3933
1594,129536.9243
1595,117230.6502
1596,221573.3541
1597,203224.8006
1598,203010.9147
1599,183894.5139
1600,171223.1777
1601,55468.53349
1602,128582.1323
1603,57562.15774
1604,276338.4965
1605,228281.6016
1606,150170.1761
1607,165007.1982
1608,213031.9784
1609,187036.2859
1610,158388.5811
1611,137141.8284
1612,189380.1091
1613,169635.7162
1614,134336.4321
1615,94712.60255
1616,73185.68214
1617,85274.16192
1618,123690.1757
1619,145065.2256
1620,164265.8402
1621,132805.5136
1622,152941.3007
1623,254656.8331
1624,216135.9847
1625,113762.976
1626,179139.2933
1627,191082.9523
1628,270598.2723
1629,173268.0152
1630,335867.6611
1631,236705.8806
1632,238700.2242
1633,177607.8145
1634,189268.4632
1635,176585.7869
1636,150073.0895
1637,190822.1414
1638,181005.4873
1639,183552.3155
1640,231366.5801
1641,180752.3617
1642,261272.8813
1643,210682.4161
1644,231902.8462
1645,203365.9271
1646,164462.7999
1647,154846.6105
1648,128699.7769
1649,134662.0314
1650,110961.0771
1651,114561.9843
1652,100478.4303
1653,97751.24351
1654,143150.1521
1655,117944.7095
1656,144969.2543
1657,150181.985
1658,154859.8348
1659,111098.5114
1660,159414.0514
1661,415942.7365
1662,355687.4962
1663,372332.0582
1664,468580.5851
1665,325285.1673
1666,322475.9624
1667,361769.4234
1668,357603.892
1669,310815.7534
1670,353525.85
1671,266950.0289
1672,388440.7007
1673,284414.6619
1674,241716.9248
1675,205838.3246
1676,208757.9196
1677,218112.117
1678,456881.122
1679,374947.9034
1680,334786.5942
1681,280987.8995
1682,317790.9036
1683,193399.7522
1684,178265.2979
1685,180136.1479
1686,168368.8458
1687,166009.2866
1688,194780.5688
1689,195230.774
1690,200484.7554
1691,191457.8196
1692,256775.3621
1693,173408.0937
1694,185027.8373
1695,162350.4395
1696,256557.7279
1697,167713.4318
1698,332086.4701
1699,323859.7351
1700,272510.7038
1701,280073.7818
1702,226423.3908
1703,224452.4902
1704,262488.4876
1705,254647.0017
1706,246820.365
1707,228455.3014
1708,201095.0261
1709,246254.6538
1710,220016.84
1711,273623.3105
1712,252377.3215
1713,272527.384
1714,220063.8709
1715,205317.7628
1716,179735.8685
1717,177632.7074
1718,140278.8012
1719,224990.0318
1720,233580.8807
1721,154955.1064
1722,119051.9365
1723,155257.7875
1724,211388.0696
1725,237363.5286
1726,187366.6199
1727,159648.5908
1728,168849.8021
1729,172993.1817
1730,155948.6701
1731,115042.7941
1732,134230.2442
1733,113444.9615
1734,121131.2911
1735,114014.0743
1736,96858.27087
1737,275057.9118
1738,267507.7646
1739,239859.2185
1740,225246.1755
1741,197490.5288
1742,174969.9515
1743,174960.2376
1744,349582.9527
1745,219356.2839
1746,181546.3294
1747,214036.3744
1748,212143.3267
1749,143479.3819
1750,126726.4971
1751,235346.2705
1752,108150.1975
1753,155723.788
